Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
Raksul Inc.,8799,MMC Corp. Bhd.,966000
Azul S.A.,9350,City of London Investment Group PLC,49000
Daqo New Energy Corp.,6873,GCP Student Living Plc,127964
Zur Rose Group AG,3785,"United Bancshares, Inc.",12722
"Guangdong Shunna Electric Co., Ltd",864971,"NantHealth, Inc.",487070
"Linzhou Heavy Machinery Group Co., Ltd",695460,Sirius Real Estate Limited,313873
Arq Group Limited,895345,Solutions 30 SE,24728
Freehold Royalties Ltd.,58113,AEON Thana Sinsap (Thailand) Public Co. Ltd.,33100
"Hengdian Entertainment Co., Ltd.",156580,Universal Entertainment Corporation,8037
Cogeco Inc.,4560,Shenzhen Fountain Corporation Class A,599700
Ascencio SCA,5342,Intertape Polymer Group Inc.,18459
"COSCO SHIPPING Specialized Carriers Co.,Ltd.",624801,"Chengdu Taihe Health Technology Group Inc., Ltd. Class A",404571
"Chengdu Wintrue Holding Co., Ltd.",479170,"Zhejiang Juli Culture Development Co., Ltd. Class A",587836
Oconee Federal Financial Corp. (MHC),15340,"Valeritas Holdings, Inc.",96766
"Shanghai Feilo Acoustics Co., Ltd",572400,"Avinger, Inc.",83575
"CITIC Offshore Helicopter Co.,Ltd.",296000,"Jerash Holdings (US), Inc.",35254
Taro Pharmaceutical Industries Ltd.,4159,"Restoration Robotics, Inc.",413585
Maybank Kim Eng Securities (Thailand) PCL,1180200,"Changshu Tianyin Electromechanical Co., Ltd. Class A",188393
"Juli Sling Co., Ltd.",686926,Guangxi Radio & Television Information Network Corp. Ltd. Class A,392102
Civeo Corporation,233544,UEC Group Ltd. Class A,324587
"Guangdong Dowstone Technology Co., Ltd.",177300,"Shenzhen Prolto Supply Chain Management Co., Ltd. Class A",193329
Destination Maternity Corporation,367039,"Proya Cosmetics Co., Ltd. Class A",25400
Establishment Labs Holdings Inc.,15862,"Qtone Education Group (Guangdong) Co., Ltd. Class A",296692
Sleep Country Canada Holdings Inc.,20075,Loma Negra Compania Industrial Argentina SA Sponsored ADR,21110
"Rongan Property Co.,Ltd.",814200,TransAtlantic Petroleum Ltd.,341679
Silvercorp Metals Inc.,80254,Zhejiang Talent Television & Film Co. Ltd. Class A,271176
"Sunstone Development Co., Ltd.",202300,"Sichuan Xun You Network Technology Co., Ltd. Class A",97194
"FSPG Hi-Tech CO., Ltd.",556700,Southern Publishing & Media Co. Ltd. Class A,180249
"Sonim Technologies, Inc.",85862,"Shanghai Jielong Industry Group Co., Ltd. Class A",418400
"Jiangsu General Science Technology Co., Ltd.",345300,"Hengyi Petrochemical Co., Ltd. Class A",137536
Luceco plc,282838,Sabre Insurance Group Plc,75008
"Guizhou Jiulian Industrial Explosive Material Development Co., Ltd",303301,"Jiangsu Yunyi Electric Co., Ltd. Class A",452540
Interfor Corporation,30416,Tempus Global Business Service Group Holding Limited Class A,281100
"Chongqing Zongshen Power Machinery Co.,Ltd",367200,"Servotronics, Inc.",25220
"SenesTech, Inc.",319995,Silver Lake Resources Limited,267619
Glenveagh Properties PLC,431622,"Despegar.com, Corp.",17367
CellaVision AB (publ),10115,Tangel Culture Co. Ltd. Class A,408820
Reliance Home Finance Limited,3965983,"Aileron Therapeutics, Inc.",333005
"Tibet Urban Development and Investment Co.,LTD",371914,"Motic (Xiamen) Electric Group Co., Ltd. Class A",317129
United Engineers Limited,171235,SpareBank 1 Nord-Norge,32298
Pharming Group N.V.,249711,Ag Growth International Inc.,5820
Jamieson Wellness Inc.,18024,"Miquel y Costas & Miquel, S.A.",13738
"Genius Brands International, Inc.",433612,Vp plc,24718
"Changzhou Tronly New Electronic Materials Co., Ltd.",164114,Microbot Medical Inc,46177
"Shenzhen Hongtao Group Co., Ltd.",691360,"Westell Technologies, Inc. Class A",126190
"GI Technologies Group Co., LTD.",358560,Kaufman & Broad SA,5758
Encavis AG,36420,Beijing Interact Technology Co. Ltd. Class A,269800
"Pang Da Automobile Trade Co., Ltd",2150400,"Guizhou Salvage Pharmaceutical Co., Ltd. Class A",614300
"Y.U.D.Yangtze River Investment Industry Co.,Ltd.",436775,"1347 Property Insurance Holdings, Inc.",47637
"Bio-Path Holdings, Inc.",27925,Empiric Student Property Plc,206000
CompX International Inc.,20282,MAEIL HOLDINGS CO. LTD.,23506
PT Sampoerna Agro Tbk,2004900,"Zhejiang Jingxing Paper Joint Stock Co., Ltd. Class A",490500
"Landmark Bancorp, Inc.",13585,"Simei Media Co., Ltd. Class A",245137
"Zhejiang Sunriver Culture Co.,Ltd.",493970,"Xingmin Intelligent Transportation Systems (Group) Co., Ltd. Class A",245226
Enservco Corporation,1396840,"Ciwen Media Co., Ltd. Class A",206209
Medley Management Inc.,94693,"Hubei Mailyard Share Co., Ltd Class A",259600
"Hainan Mining Co., Ltd.",392362,"Medley Management, Inc. Class A",94693
AMREP Corporation,56720,"Jiangmen Kanhoo Industry Co., Ltd. Class A",114120
Turcas Petrol A.S.,818084,"Jiang Su Suyan Jingshen Co., Ltd. Class A",200700
CYBERDYNE Inc.,50594,Quality Houses Public Co. Ltd.,2343800
Artemis Alpha Trust plc,93128,Frontera Energy Corporation,22607
"Zhejiang Wanma Co., Ltd.",383972,Top Resource Conservation & Environment Corp. Class A,364100
"Jinhong Holding Group Co., Ltd.",521325,Encavis AG,28494
Bangkok Bank PCL,53100,First Union Cap Ii Cap Secs 7.95%29,171000
"Vtron Group Co.,Ltd.",468923,AP (Thailand) Public Co. Ltd.,921500
Rastar Group,431500,Nobilis Health Corp.,1575708
"Bengo4.com, Inc.",7999,Gulf Keystone Petroleum Limited,79354
"Qinghai Spring Medicinal Resources Technology Co., Ltd.",388781,Origin Enterprises Plc,41465
Town Centre Securities Plc,136297,Approach Resources Inc.,787196
Seabridge Gold Inc.,22700,New Gold Inc.,236555
Supalai Public Company Limited,518650,"Eton Pharmaceuticals, Inc.",28762
"Shaanxi J&R Optimum Energy Co., Ltd.",1481354,"Unique Fabricating, Inc.",83646
Microbot Medical Inc.,46177,Fortnox AB,15377
"China West Construction Group Co., Ltd",185400,"Pioneer Power Solutions, Inc.",47468
"Jiangsu Wuzhong Industrial Co., Ltd",405339,Lander Sports Development Co Ltd Class A,448950
Orascom Investment Holding S.A.E.,1822128,Gerdau S.A.,71400
Entasis Therapeutics Holdings Inc.,49097,"CBM Bancorp, Inc.",16257
"Tibet Mineral Development Co.,LTD",291700,Gosun Holding Co. Ltd. Class A,727848
"J.W. Mays, Inc.",8514,Shanghai Sk Petroleum & Chemical Equipment Corporation Ltd Class A,253600
"Miquel y Costas & Miquel, S.A.",17200,Cinedigm Corp,165828
"Zhejiang Founder Motor Co., Ltd.",378586,"Guangdong Guanhao High-Tech Co., Ltd. Class A",423300
"Eagle Financial Bancorp, Inc.",19439,Dynasil Corporation of America,201339
"Guizhou Yibai Pharmaceutical Co., Ltd.",415700,Jiangsu Zhangjiagang Rural Commercial Bank Co. Ltd. Class A,270600
"Vaccinex, Inc.",53014,"Ningbo David Medical Device Co., Ltd. Class A",182500
"Wellesley Bancorp, Inc.",9740,"China International Marine Containers (Group) Co., Ltd Class A",148238
Shanghai Zendai Property Limited,30600000,"Asta Funding, Inc.",31509
Per Aarsleff Holding A/S,8638,Amadeus FiRe AG,1616
"Seelos Therapeutics, Inc.",239222,On The Beach Group PLC,37997
"Beijing WKW Automotive Parts Co.,Ltd.",652976,WVS Financial Corp.,12536
Compagnie des Alpes SA,11356,"Navtech, Inc. (China) Class A",115710
Gulf Keystone Petroleum Limited,109707,"Zhejiang Firstar Panel Technology Co., Ltd. Class A",377750
"Hunan Investment Group Co., Ltd.",490600,"Gevo, Inc.",110654
"Mirum Pharmaceuticals, Inc.",30622,Altisource Asset Management Corp.,18916
Alaris Royalty Corp.,20515,"Rubicon Technology, Inc.",26119
EverChina Int'l Holdings Company Limited,11500000,Victoria PLC,33829
Diversified Gas & Oil PLC,218375,Pharming Group NV,192198
"Guangdong Meiyan Jixiang Hydropower Co., Ltd.",586600,Quotient Ltd.,23090
Fortuna Silver Mines Inc.,85364,"Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd. Class A",459600
Leasinvest Real Estate SCA,2322,TTW Public Company Limited NVDR,490400
"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",926300,CellaVision AB,5262
"Yueyang Xingchang Petro-Chemical Co., Ltd.",240399,"Luby's, Inc.",198909
Pace Development Corporation Public Company Limited,56544000,Ardagh Group S.A. Class A,12270
Lotus Health Group Company,1349937,IQE plc,263586
Industrial Buildings Corporation Ltd.,137988,BioGaia AB Class B,5107
Ground International Development Limited,11520000,AnGes. Inc.,33800
"Fauquier Bankshares, Inc.",14455,Fortuna Silver Mines Inc.,56677
"Chengdu Xinzhu Road&Bridge Machinery Co.,LTD",482514,Shenwu Environmental Technology Co. Ltd. Class A,616265
"Despegar.com, Corp.",28303,Bangkok Dusit Medical Services Public Co. Ltd.,261700
Shenzhen Fountain Corporation,599700,Weifu High-Technology Group Co. Ltd. Class A,80500
"Zedge, Inc.",179106,Forterra Plc,62000
"Proya Cosmetics Co.,Ltd.",25400,Biffa Plc,78766
Ceva Logistics AG,9753,Advanced Medical Solutions Group plc,59000
"Guangdong Sunwill Precising Plastic Co.,Ltd",618660,Zealand Pharma A/S,9289
Recipharm AB (publ),21066,"Triangle Tyre Co., Ltd. Class A",113100
"Shanghai Qiangsheng Holding CO.,Ltd.",418900,Kunshan Kersen Science & Technology Co. Ltd. Class A,177968
Mei Ah Entertainment Group Limited,11874978,Turcas Petrol A.S.,816013
"Shanghai Huili Building Materials Co., Ltd.",380000,Extendicare Inc.,30831
"Shanghai Zhezhong Group Co., Ltd.",165900,Ausnet Services Holdings Nt 5.75%76,200000
"Hangzhou Electronic Soul Network Technology Co., Ltd.",82109,"Atlas Financial Holdings, Inc.",287046
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,28322,SEB SA TEMP,1279
"DaShenLin Pharmaceutical Group Co., Ltd.",35988,CYBERDYNE Inc.,36500
Sensirion Holding AG,6852,Ituran Location and Control Ltd.,6903
Vanguard Whitehall Funds - Vanguard International High Dividend Yield ETF,4778,DFS Furniture PLC,71448
Vanguard Bond Index Funds - Vanguard Short-Term Bond ETF,3561,Timbercreek Financial Corp.,28220
"Henan Yinge Industrial Investment Co.,Ltd.",738790,"Guangzhou Great Power Energy & Technology Co., Ltd. Class A",87300
"Hebei Hengshui Laobaigan Liquor Co., Ltd.",162400,Eros International PLC Class A,152632
"Nxt-ID, Inc.",700390,"Knight Therapeutics, Inc.",36187
"Pioneer Power Solutions, Inc.",47468,"Shenzhen Sinovatio Technology Co., Ltd. Class A",13100
"Shandong Wohua Pharmaceutical Co., Ltd.",238400,"Oncternal Therapeutics, Inc.",30687
"Haima Automobile Co.,Ltd.",1131800,TTW Public Company Limited,465200
Petron Corporation,2840573,Interfor Corporation,22418
"Champion Building Materials Co., Ltd.",1366000,"UT Group Co.,Ltd.",9100
"IDEAYA Biosciences, Inc.",35000,First Derivatives plc,5616
"Japan Best Rescue System Co.,Ltd.",27100,"P&F Industries, Inc. Class A",24366
"Shenzhen Silver Basis Technology Co., Ltd.",266346,Zur Rose Group AG,2114
"Aileron Therapeutics, Inc.",333005,"Cassava Sciences, Inc.",167062
Aktia Pankki Oyj,30249,"Digiwin Software Co., Ltd. Class A",94400
"Zhejiang Asia-Pacific Mechanical & Electronic Co.,Ltd",385700,Golden Ocean Group Ltd,34725
Southwest Georgia Financial Corporation,14190,Per Aarsleff Holding A/S Class B,6035
Gruppo MutuiOnline S.p.A,15579,"Jamieson Wellness, Inc.",12769
Vanguard Admiral Funds - Vanguard S&P Small-Cap 600 Growth ETF,1764,"Aevi Genomic Medicine, Inc.",1247568
Phoenix Spree Deutschland Ltd.,79682,Tikkurila Oyj,12660
"Toei Animation Co.,Ltd.",6198,Hebei Cangzhou Dahua Co. Ltd. Class A,96000
Ardagh Group S.A.,15819,"FTE Networks, Inc.",193290
"Poletowin Pitcrew Holdings, Inc.",30700,4imprint Group plc,5769
"Changshu Tianyin Electromechanical Co.,Ltd",188393,"Aemetis, Inc.",231716
Brookfield Renewable Partners L.P.,7482,"Xiangxue Pharmaceutical Co., Ltd. Class A",207900
"Galaxy Biomedical Investment Co., Ltd.",863800,Robert Walters Plc,30000
Uranium Participation Corporation,85705,Learning Technologies Group Plc,141099
Sino-Thai Engineering and Construction Public Company Limited,424200,Smart Metering Systems PLC,31740
"Xiamen 35.Com Technology Co., Ltd.",289600,Hwa Create Corporation Class A,149600
"Beijing Interact Technology Co.,Ltd.",269800,"Changhang Phoenix Co., Ltd. Class A",341600
"Maeil Holdings Co., Ltd.",24582,"Guangdong Xinhui Meida Nylon Co., Ltd Class A",337800
BW Offshore Limited,38816,U.S. Gold Corp.,186215
Zealand Pharma A/S,11487,"Bestway Marine & Energy Technology Co., Ltd. Class A",401050
Emerson Radio Corp.,268085,Histogenics Corp.,999475
Canacol Energy Ltd,77786,"Precious Shipping Public Co., Ltd. NVDR",686000
"Streamline Health Solutions, Inc.",177001,Borussia Dortmund GmbH & Co. KGaA,18932
Rolta India Limited,3142584,Frasers Property Thailand Public Co. Ltd. NVDR,318200
"Restoration Robotics, Inc.",413585,PEDEVCO Corp.,91437
Timbercreek Financial Corporation,37735,"Iconix Brand Group, Inc.",223356
Golden Ocean Group Limited,41830,Guirenniao Co. Ltd. Class A,273373
"Zhejiang Juli Culture Development Co.,Ltd.",587836,"Dalian Tianbao Green Foods Co., Ltd. Class A",951580
OPTiM Corporation,10600,"Mid-Southern Bancorp, Inc.",14980
"Jinfa Labi Maternity & Baby Articles Co., Ltd",345345,Onconova Therapeutics Inc.,66168
"AzurRx BioPharma, Inc.",260306,Fattal Holdings 1998 Ltd.,1468
"Zhejiang Ming Jewelry Co., Ltd.",328100,"Home Product Center Public Co., Ltd.",335600
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,14203,FAT Brands Inc.,45657
"Tangel Publishing Co., Ltd.",408820,Shandong Hongda Mining Co. Ltd. Class A,278582
"Xinjiang Xuefeng Sci-Tech (Group) Co., Ltd.",458800,Arrow Global Group Plc,56641
Low & Bonar PLC,2940699,Restore plc,35453
CIM Commercial Trust Corporation,16671,Recipharm AB Class B,14731
"Xinjiang Tianye Co.,Ltd.",370020,Urban&Civic PLC,49242
"Tibet Galaxy Science & Technology Development Co., Ltd.",469400,Glenveagh Properties Plc,241020
Ag Growth International Inc.,8017,Devoteam SA,1519
"United Bancshares, Inc.",13529,Strongbridge Biopharma plc,58462
Volcan Compañía Minera S.A.A.,1909539,GNI Group Ltd.,4000
Nations Technologies Inc.,266700,Aytu BioScience Inc,95269
"UUUM co.,ltd.",5499,"Shanghai Lonyer Fuels Co., Ltd. Class A",153300
American Resources Corporation,328065,Dustin Group AB,20619
Atossa Genetics Inc.,120689,Nobina AB,30370
Qian Jiang Water Resources Development Co;Ltd,186351,"Italian-Thai Development Public Co., Ltd. NVDR",2448500
"Zhejiang Talent Television and Film Co., Ltd.",271176,"Dixie Group, Inc.",307220
"Jerash Holdings (US), Inc.",35254,OneSmart International Education Group Ltd Sponsored ADR Class A,22219
"Jiangsu Wanlin Modern Logistics Co., Ltd.",460880,YLZ Information Technology Co. Ltd. Class A,143100
Navtech Inc.,115710,"Tianjin Futong Xinmao Science & Technology Co., Ltd. Class A",302600
UEC Group Ltd.,324587,Jumbo Interactive Limited,13182
"Hubei Mailyard Share Co.,Ltd",259600,"Hebei Huijin Electromechanical Co., Ltd. Class A",170700
Dustin Group AB (publ),33666,"Chongyi Zhangyuan Tungsten Co., Ltd. Class A",201600
"SAExploration Holdings, Inc.",138553,Silvercorp Metals Inc.,57124
Tikkurila Oyj,17320,Shenzhen Rapoo Technology Co. Ltd. Class A,120590
Golden Minerals Company,958728,Fingerprint Cards AB Class B,96109
"Servotronics, Inc.",25220,"Telling Telecommunication Holding Co., Ltd. Class A",214600
Belle Corporation,6148000,"Guangdong Orient Zirconic Industry Science & Technology Co., Ltd. Class A",175000
National Holdings Corporation,109945,"Biocept, Inc.",155963
"Chengdu Taihe Health Technology Group Inc., Ltd.",404571,"Qingdao Kingking Applied Chemistry Co., Ltd. Class A",239870
"Applied DNA Sciences, Inc.",817150,Sodexo SA TEMP,1490
Tempus Global Business Service Group Holding Ltd.,281100,"Insignia Systems, Inc.",150437
"Andon Health Co., Ltd.",324156,RAKSUL INC.,4900
"Ciwen Media Co.,Ltd.",206209,"Guangdong Anjubao Digital Technology Co., Ltd. Class A",220636
TransAtlantic Petroleum Ltd.,350178,"Henan Zhongfu Industrial Co., Ltd Class A",861000
"Safe Bulkers, Inc.",121576,"Gansu Mogao Industrial Development Co., Ltd. Class A",174820
"Shenzhen Prolto Supply Chain Management Co.,Ltd.",193329,Canacol Energy Ltd.,45087
Solocal Group S.A.,316899,Air Industries Group,156614
Elco Ltd.,9106,KAISA JiaYun Technology Inc. Class A,306220
"Qtone Education Group (Guangdong) Co.,Ltd",296692,"vTv Therapeutics, Inc. Class A",118990
DIRTT Environmental Solutions,53823,Alimak Group AB,12131
Smart Metering Systems plc,43482,Oriental Times Media Corporation Class A,576956
Canaccord Genuity Group Inc.,62262,Grupo Supervielle SA Sponsored ADR Class B,21478
"Simei Media Co.,Ltd.",245137,Real Gold Mining Ltd.,1584476
Lundin Gold Inc.,40679,"Wuxi Hodgen Technology Co., Ltd. Class A",228121
"Sigma Labs, Inc.",297439,"Jilin Liyuan Precision Manufacturing Co., Ltd. Class A",943730
"Titan Pharmaceuticals, Inc.",582180,Canaccord Genuity Group Inc.,40191
"Jiangmen Kanhoo Industry Co., Ltd",114120,Alaris Royalty Corp.,10914
Sprott Inc.,95186,"RAKUS Co., Ltd.",6500
"Lander Sports Development Co.,Ltd.",448950,"Bode Energy Equipment Co., Ltd Class A",147258
Craneware PLC,8700,Paradox Interactive AB,10435
"CBM Bancorp, Inc.",17452,"SPIC Yuanda Environmental-Protection Co., Ltd. Class A",192261
Extendicare Inc.,37886,"BIO-key International, Inc.",135370
Shanghai Jielong Industry Group Corporation Limited,418400,"Sinosun Technology Co., Ltd. Class A",117000
"Motic (Xiamen) Electric Group Co.,Ltd",317129,Sprott Inc.,56352
"Digiwin Software Co.,Ltd.",94400,Osisko Mining Inc,63893
"Applied Therapeutics, Inc.",23800,Continental Materials Corporation,10372
"Guangxi Radio and Television Information Network Co., Ltd.",392102,"Sichuan Western Resources Holding Co., Ltd Class A",315200
"Xingmin Intelligent Transportation Systems (Group) Co., Ltd.",245226,Custodian REIT PLC,117169
CVS Group plc,22222,Megaport Ltd.,32737
"Village Farms International, Inc.",20103,Cellectis SA,10844
"Neurotrope, Inc.",266735,"Arcimoto, Inc.",50396
Histogenics Corporation,999475,"Chunghsin Technology Group Co., Ltd. Class A",225463
"E-Ton Solar Tech Co., Ltd.",3210054,"Income Opportunity Realty Investors, Inc.",12550
Nobina AB (publ),38465,Eckert & Ziegler Strahlen- und Medizintechnik AG,1213
FS KKR Capital Corp.,40300,BW Offshore Limited,28352
"Money Forward, Inc.",7199,"Ningxia Yinglite Chemicals Co., Ltd. Class A",131734
"Guizhou Salvage Pharmaceutical Co.,Ltd.",614300,JPJ Group plc,20000
"Sichuan Xunyou Network Technology Co., Ltd.",97194,Solocal Group,192749
"Jiangsu Yunyi Electric Co., Ltd.",452540,Aurinia Pharmaceuticals Inc.,24948
"Bank of Zhengzhou Co., Ltd.",660500,"Nanjing Quanxin Cable Technology Co., Ltd. Class A",91630
Xaar plc,269436,Dundee Precious Metals Inc.,47205
"1347 Property Insurance Holdings, Inc.",47637,KT Corporation Sponsored ADR,12822
Top Resource Conservation & Environment Corp.,364100,Intouch Holdings Public Company Limited,76100
JOST Werke AG,7413,Hansen Technologies Limited,59345
AcadeMedia AB (publ),47430,Biocartis Group NV,13088
Vanguard World Fund - Vanguard Mega Cap ETF,2243,Sapiens International Corporation NV,9456
Recipe Unlimited Corporation,12182,Continental Gold Inc,53214
Rogers Sugar Inc.,56350,AB Dynamics plc,5000
Dicker Data Limited,47406,Freeman FinTech Corporation Limited,5927352
"NeuBase Therapeutics, Inc.",41097,Fiera Capital Corporation Class A,18436
"UT Group Co., Ltd.",11299,Stock Spirits Group Plc,54000
SAF-Holland S.A.,23533,Kainos Group PLC,22481
"Southern Publishing and Media Co.,Ltd",180249,JOST Werke AG,4693
Fiera Capital Corporation,30048,"Yongxing Special Materials Technology Co., Ltd. Class A",75068
"Zhejiang Jingxing Paper Joint Stock Co., Ltd.",490500,Talgo SA,28422
"Talgo, S.A.",39715,Hoist Finance AB,25300
Strongbridge Biopharma plc,82114,CP All Public Co. Ltd.,54500
"Rubicon Technology, Inc.",26119,"Hancock Jaffe Laboratories, Inc.",147788
"Ningbo David Medical Device Co., Ltd.",182500,Sleep Country Canada Holdings Inc,10873
"Jiang Su Suyan Jingshen Co.,Ltd.",200700,"Guangdong Dynavolt Renewable Energy Technology Co., Ltd. Class A",331383
"INSYS Therapeutics, Inc.",2767268,"BioHiTech Global, Inc.",85352
Europris ASA,80231,NexGen Energy Ltd.,104715
Shanghai SK Petroleum & Chemical Equipment Corporation Ltd.,253600,Non-Standard Finance Plc,327201
"Monaker Group, Inc.",94620,Daqo New Energy Corp. Sponsored ADR,3573
Air Industries Group,164079,SAF-HOLLAND S.A.,14536
Tokmanni Group Oyj,20573,goeasy Ltd.,3510
Quotient Limited,27373,"Shanghai Cooltech Power Co., Ltd. Class A",157500
"Asta Funding, Inc.",31509,Gemphire Therapeutics Inc.,185288
"Guangzhou Great Power Energy and Technology Co., Ltd",87300,Gruppo MutuiOnline S.p.A.,8672
"Gosun Holding Co., Ltd.",727848,"Lassonde Industries, Inc. Class A",1062
Computer Modelling Group Ltd.,46426,DIRTT Environmental Solutions Ltd.,28369
Evolable Asia Corp.,12000,"UUUM Co., Ltd.",3100
TTW Public Company Limited,490400,Astrotech Corporation,59016
Bel Fuse Inc.,17075,"Aethlon Medical, Inc.",402214
"Aevi Genomic Medicine, Inc.",1252050,"Village Farms International, Inc.",12852
Kambi Group plc,12832,ID Logistics Group,773
Troax Group AB (publ),20368,"Guangdong Silver Age Sci & Tech Co., Ltd. Class A",165995
"Rakus Co., Ltd.",7899,"Ocean Bio-Chem, Inc.",44012
"Zhejiang Firstar Panel Technology Co., Ltd.",377750,"Akers Biosciences, Inc.",321639
"McCormick & Company, Incorporated",1394,Aktia Bank plc Class A,15143
"Evoke Pharma, Inc.",224797,"Harbin Churin Group Jointstock Co., Ltd. Class A",631198
"Jiangsu Zhangjiagang Rural Commercial Bank Co., Ltd.",270600,HORNBACH Baumarkt AG,7695
Vanguard Admiral Funds - Vanguard S&P 500 Value ETF,1868,"Myomo, Inc.",205011
Blue Square Real Estate Ltd.,4675,Oxford BioMedica plc,16952
"Guangdong Guanhao High-Tech Co., Ltd.",423300,Anglo Pacific Group PLC,57301
"Triangle Tyre Co., Ltd",113100,"NanoViricides, Inc.",596068
Ituran Location and Control Ltd.,7794,Europris ASA,49274
Tervita Corporation,41666,AcadeMedia AB,27174
"Cassava Sciences, Inc.",167062,Banco Espirito Santo S.A.,47045164
Elmos Semiconductor AG,7501,Solitario Zinc Corp,443506
"China International Marine Containers (Group) Co., Ltd.",148238,Largo Resources Ltd.,100403
Falck Renewables S.p.A.,51532,"PKSHA Technology, Inc.",2600
"Unique Fabricating, Inc.",85246,Zip Co Ltd.,63020
Innate Pharma S.A.,30909,Standard Life Investments Property Income Fund Limited,131783
"Novus Therapeutics, Inc.",270160,CPS Technologies Corporation,121991
"Shenwu Environmental Technology CO.,LTD",616265,EnQuest PLC,491000
Hwa Create Corporation Ltd.,149600,"Nittoku Co., Ltd.",5000
Ranpak Holdings Corp.,31000,Reject Shop Limited,95928
Scandi Standard AB (publ),29458,McLeod Russel India Limited,929913
"Chang Jiang Shipping Group Phoenix Co.,Ltd",341600,"Evoke Pharma, Inc.",221322
"Bestway Marine & Energy Technology Co.,Ltd",401050,Computer Modelling Group Ltd.,26827
Osisko Mining Inc.,82446,Recipe Unlimited Corporation,6780
"Kunshan Kersen Science & Technology Co.,Ltd.",177968,United Engineers Ltd.,72300
Western Forest Products Inc.,203556,Oncopeptides AB,8756
Altius Minerals Corporation,24164,Qualstar Corporation,23492
WVS Financial Corp.,12536,"Stelco Holdings, Inc.",11714
Hoist Finance AB (publ),32129,Redde plc,97000
Sintex Industries Limited,6043284,Central Asia Metals Plc,54000
U.S. Gold Corp.,186215,"Money Forward, Inc.",4400
"Shanghai Lonyer Fuels Co., Ltd.",153300,"Safe Bulkers, Inc.",86417
"Shenzhen Sinovatio Technology Co., Ltd.",13100,Uranium Participation Corporation,40427
Gerdau S.A.,71400,Forward Industries Inc.,115757
"Hebei Huijin Electromechanical Co., Ltd.",170700,Protector Forsikring ASA,24293
Altisource Asset Management Corporation,19109,"Lazydays Holdings, Inc.",26516
Devoteam SA,2403,Western Forest Products Inc.,123737
"Xiangxue Pharmaceutical Co.,Ltd.",207900,"Valhi, Inc.",44387
SinoSun Technology Co. Ltd.,117000,"SHIFT, Inc.",2800
Biotest Aktiengesellschaft,7971,PDS Biotechnology Corp.,21986
"Precipio, Inc.",78154,Tokmanni Group Oyj,14371
Impact Healthcare REIT PLC,141104,Ascopiave S.p.A.,28465
"Aemetis, Inc.",231716,PTT Global Chemical Plc,66200
"Guangdong Xinhui Meida Nylon Co., Ltd.",337800,"Immunic, Inc.",11332
Precious Shipping Public Company Limited,686000,FLEX LNG Ltd,10245
Gurit Holding AG,172,"Solaria Energia y Medio Ambiente, S.A.",21552
Karo Pharma AB (publ),47873,"American Realty Investors, Inc.",9436
"WUXI HODGEN TECHNOLOGY CO., LTD.",228121,RaySearch Laboratories AB Class B,8894
"Mid-Southern Bancorp, Inc.",14980,Total Produce Plc,82398
Continental Gold Inc.,64628,"Beijing Homyear Capital Holdings Co., Ltd. Class A",917056
Frasers Property (Thailand) Public Company Limited,318200,Ama Group Limited,127199
FAT Brands Inc.,45657,Chargeurs SA,6845
NexGen Energy Ltd.,138883,Jupiter Mines Limited,456144
Aurinia Pharmaceuticals Inc.,29020,Suzhou China Create Special Material Co Ltd Class A,182800
Omega Geração S.A.,23600,Altius Minerals Corporation,12963
"Inuvo, Inc.",626882,Lucara Diamond Corp.,110480
"Dalian Tianbao Green Foods Co., Ltd.",951580,"Magyar Bancorp, Inc.",10465
"Income Opportunity Realty Investors, Inc.",12550,Rogers Sugar Inc.,29546
Evertz Technologies Limited,13723,"Toei Animation Co., Ltd.",3000
Sapiens International Corporation N.V.,10492,Tamarack Valley Energy Ltd.,80546
Nostrum Oil & Gas PLC,804940,Lundin Gold Inc.,21394
Cellectis S.A.,14261,Vitec Group plc,9136
Tamarack Valley Energy Ltd,112493,Tervita Corporation,24832
"Fred's, Inc.",1474099,"Guangdong Sky Dragon Printing Ink Group Co., Ltd. Class A",269170
"Oncternal Therapeutics, Inc.",31782,Troax Group AB Class A,12945
Restore plc,35453,Westwater Resources Inc,21280
Hurricane Energy plc,307274,Five Star Senior Living Inc,269120
"Westell Technologies, Inc.",126190,Organizacion Soriana SAB de CV Class B,116624
"YLZ Information Technology Co., Ltd",143100,Scapa Group Plc,51257
"Chongyi Zhangyuan Tungsten Co., Ltd.",201600,Conifer Holdings Inc,30994
Proto Corporation,16200,mobilezone holding AG,13292
"Valeritas Holdings, Inc.",96766,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,7566
McColl's Retail Group plc,312435,Watkin Jones Plc,47204
"Eton Pharmaceuticals, Inc.",28762,Marksans Pharma Limited,531439
Uni-Select Inc.,19937,"Summer Infant, Inc.",245409
"Qingdao Kingking Applied Chemistry Co., Ltd.",239870,Shop Apotheke Europe NV,3104
"Shenzhen Rapoo Technology Co., Ltd.",120590,Tobii AB,27685
